external_txn_id,account,currency,amount,debit_credit,booking_date,value_date,reference,narrative
654370987677,ACC#00074,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045492666FP,TUP PF01003166158H6REAVOWED/WAMP 9
515403933506,ACC#00026,USD,-54247963.30,CR,2023-08-25,2023-05-31,VOLERY 4042507666FP,TUP 50V0003755937Z6REAVOWED/WAMP/Y
74973812371,ACC#00005,USD,880756.26,DR,2023-08-25,2023-05-31,VOLERY 4042078666FP,TUP 226700372607966IFV /967/LX2313
317723265541,ACC#00010,USD,-43754967.98,CR,2023-08-25,2023-05-31,VOLERY 4042572666FP,TUP 5069003752334C6REAVOWED/WAMP/Y
881968270247,ACC#00020,USD,4906191.15,DR,2023-08-25,2023-05-31,VOLERY 4045436666FP,TUP 56T900375431266EU AS UDV/GROOT
817995705125,ACC#00019,USD,970000.00,DR,2023-08-25,2023-05-31,V355080896512551 8123666619VI,
109770133147,ACC#00022,USD,1616203.01,DR,2023-08-25,2023-05-31,VOLERY 4042071666FP,TUP 226100372601666IFV /967/LX2313
375252332608,ACC#00017,USD,925054.44,DR,2023-08-25,2023-05-31,VOLERY 4045420666FP,TUP 56C200375850666EU AS UDV/JIFF
11564643512,ACC#00003,USD,260934.30,DR,2023-08-25,2023-05-31,VOLERY 4042655666FP,TUP 2T1700375771666IFV /052/666066
816687196768,ACC#00014,USD,-2548995.00,CR,2023-08-25,2023-05-31,VOLERY 4042532666FP,TUP DG9100372608866HAFIZ VC LES/EC
938065784633,ACC#00001,USD,192259.70,DR,2023-08-25,2023-05-31,VOLERY 4045253666FP,TUP DG5C00379539366HAFIZ VC LES/EC
924796834843,ACC#00016,USD,1417992.16,DR,2023-08-25,2023-05-31,VOLERY 4042650666FP,TUP 507300375256266IFV /992/JD97/6
615466022105,ACC#00009,USD,-375151.86,CR,2023-08-25,2023-05-31,V855486966139839 1926966619VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
341652470570,ACC#00023,USD,84554.09,DR,2023-08-25,2023-05-31,VOLERY 4042698666FP,TUP 2T0X00375705066IFV /052/666066
500043451047,ACC#00017,USD,8543461.92,DR,2023-08-25,2023-05-31,VOLERY 4045485666FP,TUP 506200375231366EU AS UDV/GROOT
951203239327,ACC#00019,USD,1614386.04,DR,2023-08-25,2023-05-31,VOLERY 4045449666FP,TUP 56DU00375368266EU AS UDV/LEUMA
643742617139,ACC#00015,USD,-472957.69,CR,2023-08-25,2023-05-31,VOLERY 4042205666FP,TUP 924700375554366REAVOWED/KOROVA
781984496932,ACC#00081,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045247666FP,TUP FU4T003166148C6REAVOWED/WAMP 9
644454153829,ACC#00002,USD,245639.87,DR,2023-08-25,2023-05-31,VOLERY 4045469666FP,TUP T8Q700379539266EU AS UDV/YARAY
492582384840,ACC#00004,USD,29665.52,DR,2023-08-25,2023-05-31,VOLERY 4042018666FP,TUP 49X500370707866IFV /774/956067
618782687522,ACC#00004,USD,-43671754.03,CR,2023-08-25,2023-05-31,VOLERY 4042256666FP,TUP 5700003755932X6REAVOWED/WAMP/Y
865900808339,ACC#00021,USD,2600883.00,DR,2023-08-25,2023-05-31,VOLERY 4045280666FP,TUP LOO0003166121Q6REAVOWED/WAMP 9
408946617311,ACC#00009,USD,230329.78,DR,2023-08-25,2023-05-31,VOLERY 4042697666FP,TUP 2T7400375709566IFV /052/666066
250999530594,ACC#00018,USD,115096900.00,DR,2023-08-25,2023-05-31,IYO9126666118403 4600466619VI,
545315297638,ACC#00025,USD,2863240.00,DR,2023-08-25,2023-05-31,OL07810 0036766614VI,
718160790,ACC#00012,USD,45768749.54,DR,2023-08-25,2023-05-31,VOLERY 4045419666FP,TUP 5704003755943Q6REAVOWED/WAMP 9
264503511343,ACC#00002,USD,-565090.00,CR,2023-08-25,2023-05-31,VOLERY 4049162666FP,TUP 256200372065566IFV /052/Y.M.P.
326530470612,ACC#00001,USD,-53912977.50,CR,2023-08-25,2023-05-31,VOLERY 4042223666FP,TUP 570C003755941Q6REAVOWED/WAMP/Y
939276574746,ACC#00016,USD,16893903.00,DR,2023-08-25,2023-05-31,29266R0EIT L-8802966619VI,
525674510393,ACC#00022,USD,43726100.00,DR,2023-08-25,2023-05-31,VOLERY 4045220666FP,TUP FU3Q003166147C6REAVOWED/WAMP 9
512994398425,ACC#00024,USD,-333621.52,CR,2023-08-25,2023-05-31,VOLERY 4049757666FP,TUP 57X300379100266IFV /052/Y.M.P.
548990381397,ACC#00088,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045262666FP,TUP PF69003166158V6REAVOWED/WAMP 9
290130373725,ACC#00009,USD,-935000.00,CR,2023-08-25,2023-05-31,VOLERY 4045917666FP,TUP 06VVI66666666666IFV /7613 RIF
576564146015,ACC#00008,USD,40000000.00,DR,2023-08-25,2023-05-31,VOLERY 4045272666FP,TUP ACER003166125T6REAVOWED/WAMP 9
937181952987,ACC#00007,USD,3275882.00,DR,2023-08-25,2023-05-31,T313049303596660 0649303596,
491656860711,ACC#00095,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045232666FP,TUP FU21003166148Z6REAVOWED/WAMP 9
675241461516,ACC#00102,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045243666FP,TUP FU4C003166148C6REAVOWED/WAMP 9
148031072774,ACC#00012,USD,-208000.00,CR,2023-08-25,2023-05-31,VOLERY 3789566619VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
443289283316,ACC#00013,USD,-234873.59,CR,2023-08-25,2023-05-31,VOLERY 4049169666FP,TUP 224X00372061866IFV /052/Y.M.P.
688507126282,ACC#00004,USD,-718520.56,CR,2023-08-25,2023-05-31,VOLERY 4049112666FP,TUP 226800372601066IFV /052/Y.M.P.
499006857200,ACC#00008,USD,-32322.83,CR,2023-08-25,2023-05-31,VOLERY 4049131666FP,TUP 24DM00374978466IFV /052/Y.M.P.
58605735068,ACC#00022,USD,-46418841.79,CR,2023-08-25,2023-05-31,VOLERY 4042272666FP,TUP 516Q003797972C6EU AS UDV/YVGEV
631782734087,ACC#00011,USD,276200.01,DR,2023-08-25,2023-05-31,VOLERY 4042693666FP,TUP 2T0500375704966IFV /052/666066
192187242034,ACC#00109,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045234666FP,TUP FU28003166148U6REAVOWED/WAMP 9
621134587894,ACC#00025,USD,3588984821.00,DR,2023-08-25,2023-05-31,P630437586572344 1287066619VI,
685866697677,ACC#00116,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045206666FP,TUP PF64003166158C6REAVOWED/WAMP 9
326602833408,ACC#00025,USD,-54179983.40,CR,2023-08-25,2023-05-31,VOLERY 4042567666FP,TUP 50PF003755939X6REAVOWED/WAMP/Y
472175931005,ACC#00123,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045268666FP,TUP PF6C003166158N6REAVOWED/WAMP 9
830963017379,ACC#00009,USD,-16017000.00,CR,2023-08-25,2023-05-31,VOLERY 4042585666FP,TUP PF1800316619166REAVOWED/WAMP/Y
673217198961,ACC#00005,USD,-119977.58,CR,2023-08-25,2023-05-31,VOLERY 4049798666FP,TUP 2IK600372625866IFV /6052/ECCA
888296251081,ACC#00006,USD,-103808.00,CR,2023-08-25,2023-05-31,VOLERY 4049132666FP,TUP 24T300374976466IFV /052/Y.M.P.
679783771012,ACC#00015,USD,40000000.00,DR,2023-08-25,2023-05-31,VOLERY 4045216666FP,TUP POIS003166125X6REAVOWED/WAMP 9
409284194860,ACC#00032,USD,-54179983.40,CR,2023-08-25,2023-05-31,VOLERY 4042568666FP,TUP 50V9003755939C6REAVOWED/WAMP/Y
971253857947,ACC#00009,USD,12772490.64,DR,2023-08-25,2023-05-31,VOLERY 4045255666FP,TUP T30700379794966REAVOWED/PFC/TH
780468542926,ACC#00130,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045264666FP,TUP PF6C003166158Q6REAVOWED/WAMP 9
312806760974,ACC#00015,USD,2300000.00,DR,2023-08-25,2023-05-31,URBD-57RACE 3779966619VI,
469987475870,ACC#00002,USD,-307830.00,CR,2023-08-25,2023-05-31,VOLERY 4049192666FP,TUP 49RN00371300066IFV /606/775665
231769622154,ACC#00006,USD,-113981.97,CR,2023-08-25,2023-05-31,VOLERY 4049189666FP,TUP 24KO00374987666IFV /052/Y.M.P.
466530353822,ACC#00013,USD,-26201069.00,CR,2023-08-25,2023-05-31,VOLERY 4042538666FP,TUP V05400379923066REAVOWED/WAMP/C
965664963118,ACC#00018,USD,1194421.60,DR,2023-08-25,2023-05-31,VOLERY 4045458666FP,TUP 220200372609366REAVOWED/WAMP 9
651574480040,ACC#00025,USD,-1232234.91,CR,2023-08-25,2023-05-31,VOLERY 4045463666FP,TUP V02200379921466REAVOWED/PFC 90
727756154871,ACC#00137,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045260666FP,TUP PF6V003166158E6REAVOWED/WAMP 9
843593539918,ACC#00004,USD,-997000000.00,CR,2023-08-25,2023-05-31,VOLERY 6660766619XY,UPCLOSER SAUNT TYPY DE - ELUVIA CC
854893883035,ACC#00144,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045248666FP,TUP FU4Q003166148X6REAVOWED/WAMP 9
6607003365,ACC#00015,USD,-28575.85,CR,2023-08-25,2023-05-31,VOLERY 1394566619VI,UPCLOSER SAUNT TYPY  TOWNY TOWNY K
831124109647,ACC#00015,USD,854346.19,DR,2023-08-25,2023-05-31,VOLERY 4045439666FP,TUP 56X500375403966EU AS UDV/LEUMA
160721550170,ACC#00019,USD,104628.87,DR,2023-08-25,2023-05-31,VOLERY 4045418666FP,TUP 573600375908966REAVOWED/WAMP 9
941007694353,ACC#00014,USD,-9497611.46,CR,2023-08-25,2023-05-31,VOLERY 4042512666FP,TUP 569000375874266EU AS UDV/GROOT
591572131103,ACC#00001,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045233666FP,TUP FU23003166148K6REAVOWED/WAMP 9
532316758226,ACC#00024,USD,44175600.00,DR,2023-08-25,2023-05-31,VOLERY 4045204666FP,TUP POKY003166154X6REAVOWED/WAMP 9
722212272320,ACC#00039,USD,-54179983.40,CR,2023-08-25,2023-05-31,VOLERY 4042295666FP,TUP 50WT003755939V6REAVOWED/WAMP/Y
674333373709,ACC#00010,USD,-1137515.55,CR,2023-08-25,2023-05-31,VOLERY 4042587666FP,TUP 220V00372674966EU AS UDV/TEAD/
484174471041,ACC#00009,USD,924540.00,DR,2023-08-25,2023-05-31,32566R0H9D 7309666614VI,
881491810041,ACC#00021,USD,7409124.99,DR,2023-08-25,2023-05-31,VOLERY 4045434666FP,TUP 56KR00375405166EU AS UDV/LEUMA
236454331724,ACC#00019,USD,763.48,DR,2023-08-25,2023-05-31,MG19187280M600MK 8179566619VI,
429474102194,ACC#00024,USD,-461000.00,CR,2023-08-25,2023-05-31,V303224366334296 8624266619VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
316103139642,ACC#00008,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045237666FP,TUP FU25003166148H6REAVOWED/WAMP 9
321247060883,ACC#00046,USD,-54179983.40,CR,2023-08-25,2023-05-31,VOLERY 4042252666FP,TUP 576C003755939G6REAVOWED/WAMP/Y
499249686834,ACC#00003,USD,-8508134.61,CR,2023-08-25,2023-05-31,VOLERY 4049751666FP,TUP 575X00379088666IFV /6938/C16V6
678323322997,ACC#00016,USD,-85025795.32,CR,2023-08-25,2023-05-31,VOLERY 4042211666FP,TUP 57C8003755518Q6REAVOWED/WAMP/Y
113451614369,ACC#00020,USD,-11852239.16,CR,2023-08-25,2023-05-31,VOLERY 4042519666FP,TUP 562C00375120366EU AS UDV/GROOT
392228101077,ACC#00015,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045238666FP,TUP FU24003166148P6REAVOWED/WAMP 9
697602079973,ACC#00019,USD,3245857.81,DR,2023-08-25,2023-05-31,VOLERY 4045483666FP,TUP 507Q00375253066EU AS UDV/GROOT
328573892025,ACC#00024,USD,58090000.00,DR,2023-08-25,2023-05-31,VOLERY 4045219666FP,TUP JAIL003166124Q6REAVOWED/WAMP 9
664784771392,ACC#00020,USD,2040899.90,DR,2023-08-25,2023-05-31,VOLERY 4042004666FP,TUP 223000372654066IFV /992/GAOL/6
684810669347,ACC#00018,USD,-2212152.96,CR,2023-08-25,2023-05-31,VOLERY 4042221666FP,TUP 570C003755945Q6REAVOWED/WAMP/Y
576159861546,ACC#00022,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045495666FP,TUP PF07003166158G6REAVOWED/WAMP 9
737045640222,ACC#00020,USD,-1973558.20,CR,2023-08-25,2023-05-31,VOLERY 4049166666FP,TUP 2X4700372440966IFV /606/500940
3133093571,ACC#00014,USD,-50668159.43,CR,2023-08-25,2023-05-31,VOLERY 4042249666FP,TUP 5776003755927C6REAVOWED/WAMP/Y
114592025521,ACC#00053,USD,-54179983.40,CR,2023-08-25,2023-05-31,VOLERY 4042292666FP,TUP 5766003755939Y6REAVOWED/WAMP/Y
541863151180,ACC#00029,USD,43726100.00,DR,2023-08-25,2023-05-31,VOLERY 4045226666FP,TUP FU3C003166147V6REAVOWED/WAMP 9
85930300122,ACC#00022,USD,40000000.00,DR,2023-08-25,2023-05-31,VOLERY 4045217666FP,TUP MAC5003166125N6REAVOWED/WAMP 9
646941954291,ACC#00012,USD,-41790247.23,CR,2023-08-25,2023-05-31,VOLERY 4042285666FP,TUP 5713003755926L6REAVOWED/WAMP/Y
228265280267,ACC#00009,USD,-393084.28,CR,2023-08-25,2023-05-31,2924566696296426 7364566614VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
795880507617,ACC#00002,USD,158613.40,DR,2023-08-25,2023-05-31,V304818166512551 8123466619VI,
54715784212,ACC#00029,USD,40000000.00,DR,2023-08-25,2023-05-31,VOLERY 4045210666FP,TUP MAC9003166125V6REAVOWED/WAMP 9
923759001436,ACC#00017,USD,-5055656.50,CR,2023-08-25,2023-05-31,VOLERY 4042276666FP,TUP 923T00379124366EU AS UDV/TSUBA
949429414745,ACC#00003,USD,-993110.85,CR,2023-08-25,2023-05-31,VOLERY 4049171666FP,TUP 223C00372698366IFV /6967/LX131
985901616845,ACC#00033,USD,-54247963.30,CR,2023-08-25,2023-05-31,VOLERY 4042508666FP,TUP 50OL003755937E6REAVOWED/WAMP/Y
352965451685,ACC#00021,USD,-649662.89,CR,2023-08-25,2023-05-31,VOLERY 4049143666FP,TUP 23Q800373599866IFV /606/775665
712923495763,ACC#00003,USD,309374.41,DR,2023-08-25,2023-05-31,VOLERY 4042629666FP,TUP 573T00372066966IFV /06/6644391
422353842059,ACC#00019,USD,-41790247.23,CR,2023-08-25,2023-05-31,VOLERY 4042241666FP,TUP 5774003755926X6REAVOWED/WAMP/Y
852457603527,ACC#00019,USD,-11850370.23,CR,2023-08-25,2023-05-31,VOLERY 4042574666FP,TUP 500T00375220666EU AS UDV/GROOT
89466350140,ACC#00002,USD,-1450620.00,CR,2023-08-25,2023-05-31,VOLERY 4049181666FP,TUP 24V400374991566IFV /052/Y.M.P.
463531105507,ACC#00021,USD,-571932.69,CR,2023-08-25,2023-05-31,ALME115467JOQG7U 0642476560,
114950235342,ACC#00017,USD,2286.90,DR,2023-08-25,2023-05-31,32566R0EFQ 7899266614VI,
629910489858,ACC#00021,USD,-50668159.43,CR,2023-08-25,2023-05-31,VOLERY 4042227666FP,TUP 570X003755927Q6REAVOWED/WAMP/Y
80952912183,ACC#00017,USD,170449.21,DR,2023-08-25,2023-05-31,07166R0MO2 7824166614VI,
791771469882,ACC#00004,USD,533538.87,DR,2023-08-25,2023-05-31,VOLERY 4042074666FP,TUP 24RN00372600966IFV /967/LX2313
155763974806,ACC#00040,USD,-54247963.30,CR,2023-08-25,2023-05-31,VOLERY 4042503666FP,TUP 50KO003755937V6REAVOWED/WAMP/Y
264597028584,ACC#00022,USD,-321.40,CR,2023-08-25,2023-05-31,322756AL61357233 8916066619VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
973696194104,ACC#00007,USD,-107575.42,CR,2023-08-25,2023-05-31,VOLERY 4049104666FP,TUP 224100372699266IFV /052/Y.M.P.
531023454834,ACC#00029,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045263666FP,TUP PF6Q003166158Z6REAVOWED/WAMP 9
828993509441,ACC#00036,USD,40000000.00,DR,2023-08-25,2023-05-31,VOLERY 4045271666FP,TUP RIC7003166125U6REAVOWED/WAMP 9
891791177184,ACC#00004,USD,22753914.61,DR,2023-08-25,2023-05-31,V370822266510078 1552166619VI,
548308488135,ACC#00023,USD,3600000.00,DR,2023-08-25,2023-05-31,V355087016512551 8123066619VI,
391910061863,ACC#00025,USD,631123.38,DR,2023-08-25,2023-05-31,VOLERY 4042070666FP,TUP 226400372601466IFV /967/LX2313
539528439663,ACC#00001,USD,-60013572.60,CR,2023-08-25,2023-05-31,VOLERY 4042217666FP,TUP 57C4003797970C6REAVOWED/WAMP/Y
172174267033,ACC#00002,USD,8506199.69,DR,2023-08-25,2023-05-31,VOLERY 4042625666FP,TUP 575C00379015866IFV /938/C16V68
913733499131,ACC#00022,USD,-8546155.86,CR,2023-08-25,2023-05-31,VOLERY 4042515666FP,TUP 562Q00375129466EU AS UDV/GROOT
613206149050,ACC#00025,USD,-8549538.00,CR,2023-08-25,2023-05-31,VOLERY 4042516666FP,TUP 56XY00375436566REAVOWED/WAMP/Y
862567288598,ACC#00022,USD,1175626.85,DR,2023-08-25,2023-05-31,VOLERY 4045440666FP,TUP 56X800375401666EU AS UDV/LEUMA
498389384018,ACC#00006,USD,-718863.73,CR,2023-08-25,2023-05-31,VOLERY 4042219666FP,TUP 573000375972466REAVOWED/WAMP/C
886646728697,ACC#00011,USD,3384.67,DR,2023-08-25,2023-05-31,32266R776D 3053366619VI,
868338680038,ACC#00023,USD,-919801.95,CR,2023-08-25,2023-05-31,VOLERY 4049117666FP,TUP 220800372602866IFV /052/Y.M.P.
181889474915,ACC#00017,USD,-717061.87,CR,2023-08-25,2023-05-31,VOLERY 4049163666FP,TUP 256T00372007966IFV /6992/1592
804185538162,ACC#00005,USD,715778.91,DR,2023-08-25,2023-05-31,VOLERY 4042006666FP,TUP 2X0Q00372407966IFV /052/666066
919984357673,ACC#00043,USD,40000000.00,DR,2023-08-25,2023-05-31,VOLERY 4045275666FP,TUP RAIA003166125E6REAVOWED/WAMP 9
673485472229,ACC#00011,USD,-43671754.03,CR,2023-08-25,2023-05-31,VOLERY 4042225666FP,TUP 5701003755932V6REAVOWED/WAMP/Y
410045873272,ACC#00017,USD,-5736853.98,CR,2023-08-25,2023-05-31,V369830866313252 8989666619VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
49499046362,ACC#00023,USD,47821.37,DR,2023-08-25,2023-05-31,V361015566512551 8123766619VI,
575637912059,ACC#00016,USD,2118223.29,DR,2023-08-25,2023-05-31,VOLERY 4042628666FP,TUP Q63T66666666666IFV /06/210600C
431265187763,ACC#00023,USD,503899.19,DR,2023-08-25,2023-05-31,VOLERY 4042072666FP,TUP 24XD00372606366IFV /967/LX2313
442688086354,ACC#00008,USD,-53912977.50,CR,2023-08-25,2023-05-31,VOLERY 4042224666FP,TUP 5709003755941C6REAVOWED/WAMP/Y
304487592165,ACC#00015,USD,859612.36,DR,2023-08-25,2023-05-31,QUINQUEVERBAL 3054966619VI,
270909870228,ACC#00013,USD,1184476.34,DR,2023-08-25,2023-05-31,VOLERY 4045437666FP,TUP 56T700375485066EU AS UDV/GROOT
38149308015,ACC#00006,USD,-777138.98,CR,2023-08-25,2023-05-31,V852739466131427 1926366619VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
560374472326,ACC#00025,USD,1742280.08,DR,2023-08-25,2023-05-31,V848539166512557 8121366619VI,
445678334533,ACC#00018,USD,38185228.26,DR,2023-08-25,2023-05-31,VOLERY 4045415666FP,TUP 5702003755943X6REAVOWED/WAMP 9
860690259497,ACC#00002,USD,141500.00,DR,2023-08-25,2023-05-31,VOLERY 4042695666FP,TUP 2VL800372855866IFV /967/LX1334
534160665607,ACC#00060,USD,-54179983.40,CR,2023-08-25,2023-05-31,VOLERY 4042299666FP,TUP 50RN003755939E6REAVOWED/WAMP/Y
49603477320,ACC#00018,USD,-616881.30,CR,2023-08-25,2023-05-31,322746AL68776792 7854166614VI,UPCLOSER SAUNT TYPY DE - ELUVIA CC
427641414095,ACC#00031,USD,44175600.00,DR,2023-08-25,2023-05-31,VOLERY 4045205666FP,TUP BED3003166154Q6REAVOWED/WAMP 9
2923597284,ACC#00067,USD,-54179983.40,CR,2023-08-25,2023-05-31,VOLERY 4042297666FP,TUP 5763003755939U6REAVOWED/WAMP/Y
278569348529,ACC#00036,USD,54248000.00,DR,2023-08-25,2023-05-31,VOLERY 4045246666FP,TUP FU26003166148V6REAVOWED/WAMP 9
372483564944,ACC#00006,USD,52.52,DR,2023-08-25,2023-05-31,32566R0QVV 7364066614VI,
