external_txn_id,account,currency,amount,debit_credit,booking_date,value_date,reference,narrative,_source_batch
6317524951,ACC#00001,USD,1740.00,DR,2023-03-05,2023-03-04,6117466798RN 6117466798RN,AFTONIAN TRANSPORTAL TYPY OEV PIKI,ingest_batch_0001.csv
676913339369,ACC#00001,USD,-57959.56,CR,2023-03-05,2023-03-04,VOLERY 3359182666FP,TUP 0X62766666666666REAVOWED/FIE/X,ingest_batch_0001.csv
340152243080,ACC#00001,USD,53281.82,DR,2023-03-05,2023-03-04,6151066793RN 6151066793RN,ALL TYPY AS FEW GIRE INCHER FEW BI,ingest_batch_0001.csv
898996837001,ACC#00001,USD,-518602.98,CR,2023-03-07,2023-03-05,694SAU68475 0064666102XD,82C3 NIGELLA TILLITE FEATHERWEED V,ingest_batch_0001.csv
399202050828,ACC#00001,USD,-259684.83,CR,2023-03-07,2023-03-05,ZYRENIAN 7278266102XD,JINSHANG TOPFILLED ENHAT TYPY GILL,ingest_batch_0001.csv
436915787376,ACC#00001,USD,-79128.83,CR,2023-03-07,2023-03-05,28IP9SK16357260I 0063466102XD,8224 SCLER RURAL GANE EMEU LIGATE,ingest_batch_0001.csv
177566146663,ACC#00001,USD,4318655.75,DR,2023-03-07,2023-03-05,VOLERY 3395069666FP,TUP X67V66666666666IFV /133/7D2LB6,ingest_batch_0001.csv
113453461007,ACC#00001,USD,50531991.51,DR,2023-03-07,2023-03-05,VOLERY 3395074666FP,TUP 07Q5366666666666IFV /052/JOQGE,ingest_batch_0001.csv
277549139024,ACC#00001,USD,-158.27,CR,2023-03-07,2023-03-05,6900016780737 3896266102MT,BYG WOE QHFG KRI IMPALM EYN UPS CC,ingest_batch_0001.csv
468172203426,ACC#00001,USD,1056532930.10,DR,2023-03-07,2023-03-05,UI41502850001698 6910266304BY,TUP TO GORST ITS KOSALAN VI 690007,ingest_batch_0001.csv
909994321556,ACC#00001,USD,-11744500.00,CR,2023-03-07,2023-03-05,VOLERY 3466062666FP,TUP 0104C66666666666IFV /6052 BGU,ingest_batch_0001.csv
413103210128,ACC#00001,USD,-2718000.00,CR,2023-03-07,2023-03-05,VOLERY 2083766102MT,DIANITE ANIMI MG FEW GIRE DP 06728,ingest_batch_0001.csv
438186821071,ACC#00001,USD,-80.00,CR,2023-03-07,2023-03-05,VOLERY 6844766102RN,Y M TONITE ETHERIFIES GAB MURREY X,ingest_batch_0001.csv
134201549029,ACC#00001,USD,5065499.53,DR,2023-03-07,2023-03-05,VOLERY 3395636666FP,TUP 3RIA00848338C66IFV /052/666666,ingest_batch_0001.csv
737770033833,ACC#00001,USD,-68293.38,CR,2023-03-07,2023-03-05,694SAU68872 0068366102XD,8270 SOOK FEATHERWEED MOVED IMPALM,ingest_batch_0001.csv
351387970663,ACC#00001,USD,24131.22,DR,2023-03-07,2023-03-05,6758166104RN 6758166104RN,Y M TONITE ETHERIFIES GAB MURREY X,ingest_batch_0001.csv
659507735473,ACC#00001,USD,-691085.48,CR,2023-03-07,2023-03-05,VOLERY 3466634666FP,TUP 0810866666666666IFV /FICKLEST,ingest_batch_0001.csv
733473105353,ACC#00001,USD,566.50,DR,2023-03-07,2023-03-05,VOLERY 3396497666FP,TUP FIE ORARY DYES 00/07/69,ingest_batch_0001.csv
526319984788,ACC#00001,USD,-264665.97,CR,2023-03-07,2023-03-05,VOLERY 3399002666FP,TUP 0815V66666666666REAVOWED/FIE/X,ingest_batch_0001.csv
430145615770,ACC#00001,USD,2094072.09,DR,2023-03-07,2023-03-05,T313039332516660 0639332516,,ingest_batch_0001.csv
933135270113,ACC#00001,USD,25.00,DR,2023-03-07,2023-03-05,VOLERY 3396899666FP,TUP JQO CARD DYES 00/07/69,ingest_batch_0001.csv
856528828217,ACC#00001,USD,-327956.31,CR,2023-03-07,2023-03-05,694SAU68479 0068266102XD,82C1 NIGELLA SNEAK REIS PICNICKISH,ingest_batch_0001.csv
721166502142,ACC#00001,USD,-450455790.00,CR,2023-03-09,2023-03-08,UV42654780004697 6917666316BY,TUP TO THEATRIZE ITS KOSALAN VI 69,ingest_batch_0001.csv
421770612710,ACC#00001,USD,25.00,DR,2023-03-09,2023-03-08,VOLERY 3466795666FP,TUP JQO CARD DYES 00/01/69,ingest_batch_0001.csv
330124009038,ACC#00001,USD,1175324.09,DR,2023-03-09,2023-03-08,VOLERY 3465321666FP,TUP C5C166666666666IFV /137/666690,ingest_batch_0001.csv
541213851724,ACC#00001,USD,-5590361.00,CR,2023-03-09,2023-03-08,VOLERY 3469252666FP,TUP 011C066666666666REAVOWED/FIE/X,ingest_batch_0001.csv
950744470379,ACC#00001,USD,2110980.00,DR,2023-03-09,2023-03-08,SUBORBICULAR 2393366176VI,,ingest_batch_0001.csv
509022228792,ACC#00001,USD,-303046.88,CR,2023-03-09,2023-03-08,4904966005051787 2367966176VI,DESINENT UPS FEW CITE FEW GIRE DP,ingest_batch_0001.csv
442343213483,ACC#00001,USD,505900.00,DR,2023-03-09,2023-03-08,MONOAMINERGIC 2393066176VI,,ingest_batch_0001.csv
295136368021,ACC#00001,USD,1881230.98,DR,2023-03-09,2023-03-08,VOLERY 3465328666FP,TUP C95866666666666IFV /137/666690,ingest_batch_0001.csv
12612357907,ACC#00001,USD,656.91,DR,2023-03-09,2023-03-08,VOLERY 3466857666FP,TUP FIE ORARY DYES 00/01/69,ingest_batch_0001.csv
439071301712,ACC#00001,USD,-678.21,CR,2023-03-09,2023-03-08,IB6900016086560C L-8089066176XD,COLLOQUIALITY H-6001 BAIL  AFFERE,ingest_batch_0001.csv
